author;coverPicFileName;Image-URL-M;description;isbn;language;numOfPages;price;publishDate;publisher;title;Image-URL-L;Year-Of-Publication
Mark P. O. Morford;;http://images.amazon.com/images/P/0195153448.01.MZZZZZZZ.jpg;;195153448;;;;;Oxford University Press;Classical Mythology;http://images.amazon.com/images/P/0195153448.01.LZZZZZZZ.jpg;2002
Richard Bruce Wright;;http://images.amazon.com/images/P/0002005018.01.MZZZZZZZ.jpg;;2005018;;;;;HarperFlamingo Canada;Clara Callan;http://images.amazon.com/images/P/0002005018.01.LZZZZZZZ.jpg;2001
Carlo D'Este;;http://images.amazon.com/images/P/0060973129.01.MZZZZZZZ.jpg;;60973129;;;;;HarperPerennial;Decision in Normandy;http://images.amazon.com/images/P/0060973129.01.LZZZZZZZ.jpg;1991
Gina Bari Kolata;;http://images.amazon.com/images/P/0374157065.01.MZZZZZZZ.jpg;;374157065;;;;;Farrar Straus Giroux;Flu: The Story of the Great Influenza Pandemic of 1918 and the Search for the Virus That Caused It;http://images.amazon.com/images/P/0374157065.01.LZZZZZZZ.jpg;1999
E. J. W. Barber;;http://images.amazon.com/images/P/0393045218.01.MZZZZZZZ.jpg;;393045218;;;;;W. W. Norton &amp Company;The Mummies of Urumchi;http://images.amazon.com/images/P/0393045218.01.LZZZZZZZ.jpg;1999
Amy Tan;;http://images.amazon.com/images/P/0399135782.01.MZZZZZZZ.jpg;;399135782;;;;;Putnam Pub Group;The Kitchen God's Wife;http://images.amazon.com/images/P/0399135782.01.LZZZZZZZ.jpg;1991
Robert Cowley;;http://images.amazon.com/images/P/0425176428.01.MZZZZZZZ.jpg;;425176428;;;;;Berkley Publishing Group;What If?: The World's Foremost Military Historians Imagine What Might Have Been;http://images.amazon.com/images/P/0425176428.01.LZZZZZZZ.jpg;2000
Scott Turow;;http://images.amazon.com/images/P/0671870432.01.MZZZZZZZ.jpg;;671870432;;;;;Audioworks;PLEADING GUILTY;http://images.amazon.com/images/P/0671870432.01.LZZZZZZZ.jpg;1993
David Cordingly;;http://images.amazon.com/images/P/0679425608.01.MZZZZZZZ.jpg;;679425608;;;;;Random House;Under the Black Flag: The Romance and the Reality of Life Among the Pirates;http://images.amazon.com/images/P/0679425608.01.LZZZZZZZ.jpg;1996
Ann Beattie;;http://images.amazon.com/images/P/074322678X.01.MZZZZZZZ.jpg;;074322678X;;;;;Scribner;Where You'll Find Me: And Other Stories;http://images.amazon.com/images/P/074322678X.01.LZZZZZZZ.jpg;2002
David Adams Richards;;http://images.amazon.com/images/P/0771074670.01.MZZZZZZZ.jpg;;771074670;;;;;Emblem Editions;Nights Below Station Street;http://images.amazon.com/images/P/0771074670.01.LZZZZZZZ.jpg;1988
Adam Lebor;;http://images.amazon.com/images/P/080652121X.01.MZZZZZZZ.jpg;;080652121X;;;;;Citadel Press;Hitler's Secret Bankers: The Myth of Swiss Neutrality During the Holocaust;http://images.amazon.com/images/P/080652121X.01.LZZZZZZZ.jpg;2000
Sheila Heti;;http://images.amazon.com/images/P/0887841740.01.MZZZZZZZ.jpg;;887841740;;;;;House of Anansi Press;The Middle Stories;http://images.amazon.com/images/P/0887841740.01.LZZZZZZZ.jpg;2004
R. J. Kaiser;;http://images.amazon.com/images/P/1552041778.01.MZZZZZZZ.jpg;;1552041778;;;;;Mira Books;Jane Doe;http://images.amazon.com/images/P/1552041778.01.LZZZZZZZ.jpg;1999
Jack Canfield;;http://images.amazon.com/images/P/1558746218.01.MZZZZZZZ.jpg;;1558746218;;;;;Health Communications;A Second Chicken Soup for the Woman's Soul (Chicken Soup for the Soul Series);http://images.amazon.com/images/P/1558746218.01.LZZZZZZZ.jpg;1998
Loren D. Estleman;;http://images.amazon.com/images/P/1567407781.01.MZZZZZZZ.jpg;;1567407781;;;;;Brilliance Audio - Trade;The Witchfinder (Amos Walker Mystery Series);http://images.amazon.com/images/P/1567407781.01.LZZZZZZZ.jpg;1998
Robert Hendrickson;;http://images.amazon.com/images/P/1575663937.01.MZZZZZZZ.jpg;;1575663937;;;;;Kensington Publishing Corp.;More Cunning Than Man: A Social History of Rats and Man;http://images.amazon.com/images/P/1575663937.01.LZZZZZZZ.jpg;1999
Julia Oliver;;http://images.amazon.com/images/P/1881320189.01.MZZZZZZZ.jpg;;1881320189;;;;;River City Pub;Goodbye to the Buttermilk Sky;http://images.amazon.com/images/P/1881320189.01.LZZZZZZZ.jpg;1994
John Grisham;;http://images.amazon.com/images/P/0440234743.01.MZZZZZZZ.jpg;;440234743;;;;;Dell;The Testament;http://images.amazon.com/images/P/0440234743.01.LZZZZZZZ.jpg;1999
Toni Morrison;;http://images.amazon.com/images/P/0452264464.01.MZZZZZZZ.jpg;;452264464;;;;;Plume;Beloved (Plume Contemporary Fiction);http://images.amazon.com/images/P/0452264464.01.LZZZZZZZ.jpg;1994
The Onion;;http://images.amazon.com/images/P/0609804618.01.MZZZZZZZ.jpg;;609804618;;;;;Three Rivers Press;Our Dumb Century: The Onion Presents 100 Years of Headlines from America's Finest News Source;http://images.amazon.com/images/P/0609804618.01.LZZZZZZZ.jpg;1999
Celia Brooks Brown;;http://images.amazon.com/images/P/1841721522.01.MZZZZZZZ.jpg;;1841721522;;;;;Ryland Peters &amp Small Ltd;New Vegetarian: Bold and Beautiful Recipes for Every Occasion;http://images.amazon.com/images/P/1841721522.01.LZZZZZZZ.jpg;2001
J. R. Parrish;;http://images.amazon.com/images/P/1879384493.01.MZZZZZZZ.jpg;;1879384493;;;;;Cypress House;If I'd Known Then What I Know Now: Why Not Learn from the Mistakes of Others? : You Can't Afford to Make Them All Yourself;http://images.amazon.com/images/P/1879384493.01.LZZZZZZZ.jpg;2003
Mary-Kate &amp Ashley Olsen;;http://images.amazon.com/images/P/0061076031.01.MZZZZZZZ.jpg;;61076031;;;;;HarperEntertainment;Mary-Kate &amp Ashley Switching Goals (Mary-Kate and Ashley Starring in);http://images.amazon.com/images/P/0061076031.01.LZZZZZZZ.jpg;2000
Robynn Clairday;;http://images.amazon.com/images/P/0439095026.01.MZZZZZZZ.jpg;;439095026;;;;;Scholastic;Tell Me This Isn't Happening;http://images.amazon.com/images/P/0439095026.01.LZZZZZZZ.jpg;1999
Kathleen Duey;;http://images.amazon.com/images/P/0689821166.01.MZZZZZZZ.jpg;;689821166;;;;;Aladdin;Flood : Mississippi 1927;http://images.amazon.com/images/P/0689821166.01.LZZZZZZZ.jpg;1998
Rich Shapero;;http://images.amazon.com/images/P/0971880107.01.MZZZZZZZ.jpg;;971880107;;;;;Too Far;Wild Animus;http://images.amazon.com/images/P/0971880107.01.LZZZZZZZ.jpg;2004
Michael Crichton;;http://images.amazon.com/images/P/0345402871.01.MZZZZZZZ.jpg;;345402871;;;;;Ballantine Books;Airframe;http://images.amazon.com/images/P/0345402871.01.LZZZZZZZ.jpg;1997
MICHAEL CRICHTON;;http://images.amazon.com/images/P/0345417623.01.MZZZZZZZ.jpg;;345417623;;;;;Ballantine Books;Timeline;http://images.amazon.com/images/P/0345417623.01.LZZZZZZZ.jpg;2000
C.S. Lewis;;http://images.amazon.com/images/P/0684823802.01.MZZZZZZZ.jpg;;684823802;;;;;Scribner;OUT OF THE SILENT PLANET;http://images.amazon.com/images/P/0684823802.01.LZZZZZZZ.jpg;1996
ARTHUR PHILLIPS;;http://images.amazon.com/images/P/0375759778.01.MZZZZZZZ.jpg;;375759778;;;;;Random House Trade Paperbacks;Prague : A Novel;http://images.amazon.com/images/P/0375759778.01.LZZZZZZZ.jpg;2003
Stephan Jaramillo;;http://images.amazon.com/images/P/0425163091.01.MZZZZZZZ.jpg;;425163091;;;;;Berkley Publishing Group;Chocolate Jesus;http://images.amazon.com/images/P/0425163091.01.LZZZZZZZ.jpg;1998
